"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Demo: Zero touch configuration","N. Kuntze; P. Larbig; C. Rudolph","Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany; Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany; Fraunhofer Institute for Secure Information Technology, Darmstadt, Germany",2013 IFIP/IEEE International Symposium on Integrated Network Management (IM 2013),"1 Aug 2013","2013","","","1076","1077","The deployment of devices at remote or distributed locations is a typical scenario e.g. in large enterprise networks or industrial applications. In the deployment of a device identification of the device and the establishment of security relations (trust) between the device and other elements of the infrastructure is crucial. Usually, the process requires either to pre-configure the device or to let administrators physically access the device for configuration. Both options induce costs. For functional configurations and software distribution zero configuration solutions are available. One important step hereby is the establishment of trust into the individual device by the device owner. This trust establishment requires in typical schemes a large organizational involvement of the device owner resp. operator. The approach presented in this demo addresses the step of initial trust establishment. The demonstration shows the process of a device being securely configured and provides a visualization through a meta-data graph generated from an IFMAP server.","1573-0077","978-3-901882-50-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573136","","Servers;Protocols;Hardware;Cryptography;Software;Universal Serial Bus","","","3","3","","1 Aug 2013","","","IEEE","IEEE Conferences"
"Challenges and Benefits of Using Open Standards for Network Automation and Orchestration","S. Filiposka; R. Łapacz","Faculty of Computer Science and Engineering, Ss. Cyril and Methodius University, Skopje, North Macedonia; New Generation Networks Department, Poznan Supercomputing and Networking Center, Poznan, Poland",2022 30th Telecommunications Forum (TELFOR),"22 Dec 2022","2022","","","1","4","Digital platforms are enabling communication service providers provide user-centric flexible services on-demand. To achieve the required level of efficiency standard approaches to architecture and design decisions, together with the implementation of network automation and orchestration are needed. The goal of this paper is to discuss the lessons learnt from the efforts put into the implementation and deployment of the Service Provider Architecture platform.","","978-1-6654-7273-9","10.1109/TELFOR56187.2022.9983704","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9983704","data model;decoupling;network automation;standards","Manifolds;Automation;Costs;Ecosystems;Data models;Extensibility;Telecommunications","","1","","20","IEEE","22 Dec 2022","","","IEEE","IEEE Conferences"
"Optimal configuration determination in Cognitive Autonomous Networks","A. Banerjee; S. S. Mwanje; G. Carle","Nokia Bell Labs, Munich, Germany; Nokia Bell Labs, Munich, Germany; Dept. of Informatics, Technical University of Munich, Germany",2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),"30 Jun 2021","2021","","","494","500","Cognitive Autonomous Networks (CAN) promises to raise the level of operational autonomy in mobile networks through the introduction of Artificial Intelligence (AI) and Machine Learning (ML) in the network processes. In CAN, learning based functions, called Cognitive Functions (CF), adjust network control parameters to optimize their objectives which are different Key Performance Indicator (KPI). As the CFs work in parallel, there is often an overlap among their activities regarding control parameter adjustment, i.e., at one point of time, multiple CFs may want to change a single control parameter albeit by different degrees or to different values depending on their respective levels of interest in that parameter. To resolve this dispute, a coordination mechanism is required for sharing the parameter among the independent CFs according to their individual interest levels. In this paper we provide the design of such a Controller in CAN to determine the optimal control parameter value. The Controller first quantifies the impact of that parameter on the objective of each CF, based on which the Controller determines the optimal value using Eisenberg-Gale solution. A numerical evaluation shows that compared to state-of-the-art, the proposed Controller can improve performance by up to 7.7%, while implementation in a simulation environment shows that the proposed Controller is feasible for use in a real life scenario.","1573-0077","978-3-903176-32-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464000","Network Automation;Game Theory;Deep Learning;Fisher Market Model","Key performance indicator;Optimal control;Machine learning;Numerical models","","","","16","","30 Jun 2021","","","IEEE","IEEE Conferences"
"Network Automation with Go: Learn how to automate network operations and build applications using the Go programming language","N. Leiva; M. Kashin",NA; NA,Network Automation with Go: Learn how to automate network operations and build applications using the Go programming language,"","2023","","","","","Understand the world of modern network automation with Go and deepen your knowledge with insights from 10+ experts who have real-world hands-on experience with network automation and/or are using Go for network-related tasksKey FeaturesA comprehensive guide to the world of modern network automationUse Go to build anything from repetitive task automation to complex distributed systemsOver 30 practical, ready-to-use sample programsBook DescriptionGo’s built-in first-class concurrency mechanisms make it an ideal choice for long-lived low-bandwidth I/O operations, which are typical requirements of network automation and network operations applications. This book provides a quick overview of Go and hands-on examples within it to help you become proficient with Go for network automation. It’s a practical guide that will teach you how to automate common network operations and build systems using Go. The first part takes you through a general overview, use cases, strengths, and inherent weaknesses of Go to prepare you for a deeper dive into network automation, which is heavily reliant on understanding this programming language. You’ll explore the common network automation areas and challenges, what language features you can use in each of those areas, and the common software tools and packages. To help deepen your understanding, you’ll also work through real-world network automation problems and apply hands-on solutions to them. By the end of this book, you’ll be well-versed with Go and have a solid grasp on network automation.What you will learnUnderstand Go programming language basics via network-related examplesFind out what features make Go a powerful alternative for network automationExplore network automation goals, benefits, and common use casesDiscover how to interact with network devices using a variety of technologiesIntegrate Go programs into an automation frameworkTake advantage of the OpenConfig ecosystem with GoBuild distributed and scalable systems for network observabilityWho this book is forThis book is for all network engineers, administrators, and other network practitioners looking to understand what network automation is and how the Go programming language can help develop network automation solutions. As the first part of the book offers a comprehensive overview of Go’s main features, this book is suitable for beginners with a solid grasp on programming basics.","","9781800561014","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163352.pdf&bkn=10163351&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Self-provisioning of network infrastructure for server landings in complex data center environments","P. Apel; G. Botts; A. Fullam","Automated Network Management, Intel Corporation, Folsom, CA, USA; Enterprise DataCenter Network Operations, Intel Corporation, Rio Rancho, NM, USA; Enterprise DataCenter Network Operations, Intel Corporation, Rio Rancho, NM, USA",2013 IFIP/IEEE International Symposium on Integrated Network Management (IM 2013),"1 Aug 2013","2013","","","912","915","Overview of a network provisioning system which dynamically determines the necessary path, finds free ports, and configures the VLAN trunking and spanning trees using fuzzy logic and dynamic web service composition.","1573-0077","978-3-901882-50-0","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6573110","network;automation;web services;configuration;server;provision","Servers;Ports (Computers);Engines;Fuzzy logic;Web services;Network interfaces;Automation","","","","7","","1 Aug 2013","","","IEEE","IEEE Conferences"
"An architecture for self-tuning cellular systems","P. Magnusson; J. Oom","Ericsson Research, LinLab, Linkoping, Sweden; Ericsson Research, LinLab, Linkoping, Sweden",2001 IEEE/IFIP International Symposium on Integrated Network Management Proceedings. Integrated Network Management VII. Integrated Management Strategies for the New Millennium (Cat. No.01EX470),"7 Aug 2002","2001","","","231","245","As cellular networks grow in size and complexity, the process of managing them becomes increasingly costly for mobile operators. It is therefore important to focus on simplifying or automating these tasks. This paper describes an architecture that supports automated management of a cellular network. Automation can be done by gathering and processing measurements from the network resources and, based upon the results, feeding back configuration commands. Due to potentially large networks, the large number of measurements needed, and the distributed nature of a cellular system, there is a need for a distributed architecture. This paper proposes such an architecture and describes evaluation results using this architecture in a field trial at the operator SmarTone in Hong Kong. Results from the field trial show that the suggested agent/task pattern is well suited to implementing self-tuning algorithms.","","0-7803-6719-7","10.1109/INM.2001.918034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=918034","","Radio spectrum management;Radio access networks;Land mobile radio cellular systems;Radio network;Centralized control;Radio control;Communication system control;Control systems;Cellular networks;Prototypes","","2","","6","IEEE","7 Aug 2002","","","IEEE","IEEE Conferences"
"Mastering Python Networking: Utilize Python packages and frameworks for network automation, monitoring, cloud, and management","E. Chou",NA,"Mastering Python Networking: Utilize Python packages and frameworks for network automation, monitoring, cloud, and management","","2023","","","","","Get to grips with the latest container examples, Python 3 features, GitLab DevOps, network data analysis, and cloud networking to get the most out of Python for network engineering with the latest edition of this bestselling guide Purchase of the print or Kindle book includes a free eBook in PDF format.Key FeaturesExplore the power of the latest Python libraries and frameworks to tackle common and complex network problems efficiently and effectivelyUse Python and other open source tools for Network DevOps, automation, management, and monitoringUse Python 3 to implement advanced network-related featuresBook DescriptionNetworks in your infrastructure set the foundation for how your application can be deployed, maintained, and serviced. Python is the ideal language for network engineers to explore tools that were previously available to systems engineers and application developers. In Mastering Python Networking, Fourth edition, you'll embark on a Python-based journey to transition from a traditional network engineer to a network developer ready for the next generation of networks. This new edition is completely revised and updated to work with the latest Python features and DevOps frameworks. In addition to new chapters on introducing Docker containers and Python 3 Async IO for network engineers, each chapter is updated with the latest libraries with working examples to ensure compatibility and understanding of the concepts. Starting with a basic overview of Python, the book teaches you how it can interact with both legacy and API-enabled network devices. You will learn to leverage high-level Python packages and frameworks to perform network automation tasks, monitoring, management, and enhanced network security, followed by AWS and Azure cloud networking. You will use Git for code management, GitLab for continuous integration, and Python-based testing tools to verify your network.What you will learnUse Python to interact with network devicesUnderstand Docker as a tool that you can use for the development and deploymentUse Python and various other tools to obtain information from the networkLearn how to use ELK for network data analysisUtilize Flask and construct high-level API to interact with in-house applicationsDiscover the new AsyncIO feature and its concepts in Python 3Explore test-driven development concepts and use PyTest to drive code test coverageUnderstand how GitLab can be used with DevOps practices in networkingWho this book is forMastering Python Networking, Fourth edition is for network engineers, developers, and SREs who want to learn Python for network automation, programmability, monitoring, cloud, and data analysis. Network engineers who want to transition from manual to automation-based networks using the latest DevOps tools will also get a lot of useful information from this book. Basic familiarity with Python programming and networking-related concepts such as Transmission Control Protocol/Internet Protocol (TCP/IP) will be helpful in getting the most out of this book.","","9781803242323","","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10163686.pdf&bkn=10163685&pdfType=book","","","","","","","","27 Jun 2023","","","Packt Publishing","Packt Publishing eBooks"
"Machine-Learning-Based Predictive Handover","A. Masri; T. Veijalainen; H. Martikainen; S. Mwanje; J. Ali-Tolppa; M. Kajó",Magister Solutions; Nokia Bell Labs; Magister Solutions; Nokia Bell Labs; Nokia Bell Labs; Technical University of Munich,2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),"30 Jun 2021","2021","","","648","652","Good mobility performance is critical in cellular networks for ensuring that each user is always connected to the best possible cell and that the handovers are executed timely to minimize radio link failures while avoiding unnecessary handovers. A potential new approach to this challenge is to learn the local radio conditions and adapt and customize the mobility to them. This work proposes and investigates a machine learning method for learning the optimal time and destination for handovers in 5G radio networks, as well as how to use the learned model to trigger handovers based on the predicted radio conditions. The complete solution is analyzed and compared to the state of the art mobility methods to evaluate its performance in reducing the system total outage.","1573-0077","978-3-903176-32-4","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464055","5G;Supervised Learning;Predictive Handover;Neural Networks;Long-Short Term Memory","Cellular networks;Adaptation models;Memory management;Machine learning;Handover;Fingerprint recognition;Predictive models","","7","","13","","30 Jun 2021","","","IEEE","IEEE Conferences"
"Distributed security management for the IoT","N. Lincke; N. Kuntze; C. Rudolph",Fraunhofer SIT; Fraunhofer SIT; Fraunhofer SIT,2015 IFIP/IEEE International Symposium on Integrated Network Management (IM),"2 Jul 2015","2015","","","1373","1376","This paper proposes a concept of a distributed, hierarchical management structure for large interconnected, dynamic and heterogeneous infrastructures. This approach supporting has the potential to enable efficient security management as well as meta-data distribution is particularly relevant for applications relying on the so-called Internet of Things (IoT). The management structure is motivated by existing and successful approaches in peer-2-peer (P2P) networks for content distribution and it shares some of the characteristics. In contrast to P2P networks with clearly defined functional goals, the IoT can support various applications. Security management functionalities as well as other management tasks need to conform to the heterogeneity of applications and devices. Further, there is no single entity in control of the complete system and applications will definitely be cross-domain. Thus, a classical middle-ware is not suitable and a distributed approach as proposed in this paper can constitute the basis for a new management core for the IoT.","1573-0077","978-1-4799-8241-7","10.1109/INM.2015.7140499","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7140499","","Peer-to-peer computing;Authentication;Cryptography;DH-HEMTs;Conferences;Communication channels","","3","","8","IEEE","2 Jul 2015","","","IEEE","IEEE Conferences"
"Network Element Auto-configuration in a Managed Network","H. Sanneck; C. schmelz; T. Baumgarth; K. Keutner","Siemens Network-Mobile Network; Siemens Network-Mobile Network; Siemens Corporate Technology, Germany; Siemens Corporate Technology, Germany",2007 10th IFIP/IEEE International Symposium on Integrated Network Management,"25 Jun 2007","2007","","","497","515","In a ""managed network"" where the location / point of attachment of network elements (NE) are entirely planned and the NEs are tightly controlled by an element management system, the roll-out of new NEs or changes to the NE HW and SW cause considerable overhead. The overhead is due in large part due to the concurrent processes at the network operator, NE factory and roll-out field service which require extensive interaction. An autoconfiguration method is proposed which is able to decouple the individual roll-out processes, i.e., changes in the NE configuration and association of NE with certain locations can be changed at any time in the roll-out process without incurring additional overhead. This is achieved by an autoconfiguration support system under control of the operator where all data relevant to a to-be-rolled-out NE is stored. When the NE is booting it can retrieve the required configuration and SW which is needed to fulfil the required network function at its point of attachment to the network. Finally it is shown that in a managed network it is advantageous to use the geo-location of a network element as its key identifier in network planning and rollout, rather than a hardware identifier as usually employed in DHCP-based autoconfiguration. This is the case because in a ""managed network"" it is important that autoconfiguration support is provided for a certain network function at a certain location, rather than autoconfiguration of a certain hardware which is attached at an arbitrary location.","1573-0077","1-4244-0798-2","10.1109/INM.2007.374815","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4258567","Auto-configuration;Configuration Management;Management Automation","Hardware;Control systems;Production facilities;Transfer functions;Process planning;Cost function;Medical services;Communication system control;Automation;Automatic control","","2","12","3","IEEE","25 Jun 2007","","","IEEE","IEEE Conferences"
