"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","Abstract","Language of Original Document"
"Gamess E.; Hernandez S.","Gamess, Eric (6506773107); Hernandez, Sergio (57374096100)","6506773107; 57374096100","Performance Evaluation of SNMPv1/2c/3 using Different Security Models on Raspberry Pi","2021","10.14569/IJACSA.2021.0121101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121245604&doi=10.14569%2fIJACSA.2021.0121101&partnerID=40&md5=f4d7ff15c58bdf9742423f980c7fb7f9","MCIS Department Jacksonville, State University Jacksonville, Alabama, United States; Information Security Citibank, New York, New York, United States","Gamess E., MCIS Department Jacksonville, State University Jacksonville, Alabama, United States; Hernandez S., Information Security Citibank, New York, New York, United States","The Simple Network Management Protocol (SNMP) is one of the dominant protocols for network monitoring and configuration. The first two versions of SNMP (v1 and v2c) use the Community-based Security Model (CSM), where the community is transferred in clear text, resulting in a low level of security. With the release of SNMPv3, the User-based Security Model (USM) and Transport Security Model (TSM) were proposed, with strong authentication and privacy at different levels. The Raspberry Pi family of Single-Board Computers (SBCs) is widely used for many applications. To help their integration into network management systems, it is essential to study the impact of the different versions and security models of SNMP on these SBCs. In this work, we carried out a performance analysis of SNMP agents running in three different Raspberry Pis (Pi Zero W, Pi 3 Model B, and Pi 3 Model B+). Our comparisons are based on the response time, defined as the time required to complete a request/response exchange between a manager and an agent. Since we did not find an adequate tool for our assessments, we developed our own benchmarking tool. We did numerous experiments, varying different parameters such as the type of requests, the number of objects involved per request, the security levels of SNMPv3/USM, the authentication and privacy protocols of SNMPv3/USM, the transport protocols, and the versions and security models of SNMP. Our experiments were executed with Net-SNMP, an open-source and comprehensive distribution of SNMP. Our tests indicate that SNMPv1 and SNMPv2c have similar performance. SNMPv3 has a longer response time, due to the overhead caused by the security services (authentication and privacy). The Pi 3 Model B and Pi 3 Model B+ have comparable performance, and significantly outperform the Pi Zero W. © 2021. All Rights Reserved.","English"
"Zincir-Heywood N.; Mellia M.; Diao Y.","Zincir-Heywood, Nur (57105333100); Mellia, Marco (6603904712); Diao, Yixin (7004284703)","57105333100; 6603904712; 7004284703","Overview of artificial intelligence and machine learning","2021","10.1002/9781119675525.ch2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146840255&doi=10.1002%2f9781119675525.ch2&partnerID=40&md5=4603fdcda1579cf5ead5a18e193cbb86","Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada; Department of Electronics and Telecommunications, Politecnico di Torino, Torino, Italy; PebblePost, New York, NY, United States","Zincir-Heywood N., Faculty of Computer Science, Dalhousie University, Halifax, NS, Canada; Mellia M., Department of Electronics and Telecommunications, Politecnico di Torino, Torino, Italy; Diao Y., PebblePost, New York, NY, United States","Advances in artificial intelligence and machine learning (AI/ML) algorithms are not only the fastest growing areas but also provide endless possibilities in many different science and engineering disciplines including computer communication networks. These technologies are used by billions of people. Any person who has a smartphone can tangibly experience advances in communication networks, social media, natural language processing, and computer vision that were not possible just 10 years ago. Research is therefore needed to understand and improve the potential and suitability of AI/ML in general for communications and networking technologies, but also in particular for systems and networks operations and management. © 2021 The Institute of Electrical and Electronics Engineers, Inc.","English"
"Gulenko A.; Acker A.; Kao O.; Liu F.","Gulenko, Anton (55222047700); Acker, Alexander (57202301639); Kao, Odej (7004362997); Liu, Feng (57191041658)","55222047700; 57202301639; 7004362997; 57191041658","AI-Governance and Levels of Automation for AIOps-supported System Administration","2020","10.1109/ICCCN49398.2020.9209606","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093840521&doi=10.1109%2fICCCN49398.2020.9209606&partnerID=40&md5=84865acfa614e2d0c58e65a2170cc292","Technische Universität Berlin, Distributed Systems, Berlin, Germany; Huawei Research Center, Munich, Germany","Gulenko A., Technische Universität Berlin, Distributed Systems, Berlin, Germany; Acker A., Technische Universität Berlin, Distributed Systems, Berlin, Germany; Kao O., Technische Universität Berlin, Distributed Systems, Berlin, Germany; Liu F., Huawei Research Center, Munich, Germany","Artificial Intelligence for IT Operations (AIOps) describes the process of maintaining and operating large IT infrastructures in data centers using AI-supported methods and tools, e.g. for automated anomaly detection, root cause analysis, for remediation, optimization, and for automated initiation of self-stabilizing activities. Initial results and products show that AIOps platforms can help to reach the required level of availability, reliability, dependability, and serviceability for future settings, where latency and response times are of crucial importance. The human operators see the benefits, but also the risks of losing a control over the system while still being accountable for the AIOps-managed infrastructure. While automation is mandatory due to the system complexity and the criticality of a QoS-bounded response, the measures compiled and deployed by the AI-controlled administration are not easily understood or reproducible. Therefore, explainable actions taken by the automated system is becoming a regulatory requirement for future IT infrastructures. In this paper we address several important sub-aspects of the AI-Governance with focus on IT service and infrastructure management and provide a set of rules and levels of automation that precisely describe the shared responsibility between human operators and the AIOps-controlled administration. We aim at providing guidance, decision-support, and explainable processes for AIOps. © 2020 IEEE.","English"
"Sharara M.; Pamuklu T.; Hoteit S.; Veque V.; Erol-Kantarci M.","Sharara, Mahdi (57207994237); Pamuklu, Turgay (56026668900); Hoteit, Sahar (55546999100); Veque, Veronique (6506567243); Erol-Kantarci, Melike (36161830500)","57207994237; 56026668900; 55546999100; 6506567243; 36161830500","Policy-Gradient-Based Reinforcement Learning for Computing Resources Allocation in O-RAN","2022","10.1109/CloudNet55617.2022.9978863","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146114153&doi=10.1109%2fCloudNet55617.2022.9978863&partnerID=40&md5=3f52e9480e899a7e3b16af92b4c9011c","Université Paris Saclay, CNRS-CentraleSupélec, Laboratoire des Signaux et Systèmes, France; University of Ottawa, School of Electrical Engineering and Computer Science, Canada","Sharara M., Université Paris Saclay, CNRS-CentraleSupélec, Laboratoire des Signaux et Systèmes, France; Pamuklu T., University of Ottawa, School of Electrical Engineering and Computer Science, Canada; Hoteit S., Université Paris Saclay, CNRS-CentraleSupélec, Laboratoire des Signaux et Systèmes, France; Veque V., Université Paris Saclay, CNRS-CentraleSupélec, Laboratoire des Signaux et Systèmes, France; Erol-Kantarci M., University of Ottawa, School of Electrical Engineering and Computer Science, Canada","Open Radio Access Network (O-RAN) is a novel architecture aiming to disaggregate the network components to reduce capital and operational costs and open the interfaces to ensure interoperability. In this work, we consider the problem of allocating computing resources to process the data of enhanced Mobile BroadBand (eMBB) users and Ultra-Reliable Low-Latency (URLLC) Users. Supposing the processing of users' frames from different base stations is done in a shared O-Cloud, we model the computing resources allocation problem as an Integer Linear Programming (ILP) problem that aims at fairly allocating computing resources to eMBB and URLLC users and optimizing the QoS of URLLC users without neglecting eMBB users. Due to the high complexity of solving an ILP problem, we model the problem using Reinforcement Learning (RL). Our results demonstrate the ability of our RL-based solution to perform close to the ILP solver while having much lower computational complexity. For a different number of Open Radio Units (O-RUs), the objective value of the RL agent does not deviate from the ILP objective by more than 6%.  © 2022 IEEE.","English"
"Keshavarz Haddadha P.; Rezvani M.H.; MollaMotalebi M.; Shankar A.","Keshavarz Haddadha, Parviz (58894479600); Rezvani, Mohammad Hossein (19640626200); MollaMotalebi, Mahdi (54420737600); Shankar, Achyut (7005442649)","58894479600; 19640626200; 54420737600; 7005442649","Machine learning methods for service placement: a systematic review","2024","10.1007/s10462-023-10684-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185395922&doi=10.1007%2fs10462-023-10684-0&partnerID=40&md5=2ec6da22a0cb4e86e1ff318eca5d2d8f","Department of Computer and Information Technology Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran; Department of Cyber Systems Engineering, WMG, University of Warwick, Coventry, CV74AL, United Kingdom; Center of Research Impact and Outreach, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India; School of Computer Science Engineering, Lovely Professional University, Phagwara, Punjab, 144411, India","Keshavarz Haddadha P., Department of Computer and Information Technology Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran; Rezvani M.H., Department of Computer and Information Technology Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran; MollaMotalebi M., Department of Computer and Information Technology Engineering, Qazvin Branch, Islamic Azad University, Qazvin, Iran; Shankar A., Department of Cyber Systems Engineering, WMG, University of Warwick, Coventry, CV74AL, United Kingdom, Center of Research Impact and Outreach, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India, School of Computer Science Engineering, Lovely Professional University, Phagwara, Punjab, 144411, India","With the growth of real-time and latency-sensitive applications in the Internet of Everything (IoE), service placement cannot rely on cloud computing alone. In response to this need, several computing paradigms, such as Mobile Edge Computing (MEC), Ultra-dense Edge Computing (UDEC), and Fog Computing (FC), have emerged. These paradigms aim to bring computing resources closer to the end user, reducing delay and wasted backhaul bandwidth. One of the major challenges of these new paradigms is the limitation of edge resources and the dependencies between different service parts. Some solutions, such as microservice architecture, allow different parts of an application to be processed simultaneously. However, due to the ever-increasing number of devices and incoming tasks, the problem of service placement cannot be solved today by relying on rule-based deterministic solutions. In such a dynamic and complex environment, many factors can influence the solution. Optimization and Machine Learning (ML) are two well-known tools that have been used most for service placement. Both methods typically use a cost function. Optimization is usually a way to define the difference between the predicted and actual value, while ML aims to minimize the cost function. In simpler terms, ML aims to minimize the gap between prediction and reality based on historical data. Instead of relying on explicit rules, ML uses prediction based on historical data. Due to the NP-hard nature of the service placement problem, classical optimization methods are not sufficient. Instead, metaheuristic and heuristic methods are widely used. In addition, the ever-changing big data in IoE environments requires the use of specific ML methods. In this systematic review, we present a taxonomy of ML methods for the service placement problem. Our findings show that 96% of applications use a distributed microservice architecture. Also, 51% of the studies are based on on-demand resource estimation methods and 81% are multi-objective. This article also outlines open questions and future research trends. Our literature review shows that one of the most important trends in ML is reinforcement learning, with a 56% share of research. © The Author(s) 2024.","English"
"Arnaz A.; Lipman J.; Abolhasan M.; Hiltunen M.","Arnaz, Azadeh (57763291700); Lipman, Justin (8605294200); Abolhasan, Mehran (7801527582); Hiltunen, Matti (7004918593)","57763291700; 8605294200; 7801527582; 7004918593","Toward Integrating Intelligence and Programmability in Open Radio Access Networks: A Comprehensive Survey","2022","10.1109/ACCESS.2022.3183989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132710199&doi=10.1109%2fACCESS.2022.3183989&partnerID=40&md5=81652c2aa88419c1b739b738fb3e60ed","University of Technology Sydney, School of Electrical and Data Engineering, Ultimo, 2007, NSW, Australia; AT&T Labs Research, Bedminster, 07921, NJ, United States","Arnaz A., University of Technology Sydney, School of Electrical and Data Engineering, Ultimo, 2007, NSW, Australia; Lipman J., University of Technology Sydney, School of Electrical and Data Engineering, Ultimo, 2007, NSW, Australia; Abolhasan M., University of Technology Sydney, School of Electrical and Data Engineering, Ultimo, 2007, NSW, Australia; Hiltunen M., AT&T Labs Research, Bedminster, 07921, NJ, United States","Open RAN is an emerging vision and an advancement of the Radio Access Network (RAN). Its purpose is to implement a vendor and network-generation agnostic RAN, provide networking solutions across all service requests, and implement artificial intelligence solutions in different stages of an end-to-end communication path. The 5th Generation (5G) and beyond the 5th Generation (B5G) of networking introduce and support new use cases, such as tactile internet and autonomous driving. The complexity and innovative nature of these use cases require continuous innovation at a high pace in the RAN. The traditional approach of building end-to-end RAN solutions by only one vendor hampers the speed of innovation - furthermore, the lack of a standard approach to implementing artificial intelligence complicates the compatibility of products with the RAN ecosystem. O-RAN Alliance, a community of industry and academic experts in RAN, works on writing Open RAN specifications on top of the 3rd Generation Partnership Project (3GPP) standards. Founded on these specifications, the aim of this paper is to introduce open research topics in Open RAN that overlap the interests of both AI and telecommunication researchers. The paper provides an overview of the architecture and components of Open RAN, then explores AI use cases in Open RAN. Also, this survey includes some plausible AI deployment scenarios that the specifications have not covered. Open RAN in future cities creates opportunities for various use cases across different sectors, including engineering, operations, and research that this paper addresses.  © 2013 IEEE.","English"
"Gelenbe E.; Domanska J.; Frohlich P.; Nowak M.P.; Nowak S.","Gelenbe, Erol (7006026729); Domanska, Joanna (16038785400); Frohlich, Piotr (57217319568); Nowak, Mateusz P. (57198108028); Nowak, Slawomir (22734781200)","7006026729; 16038785400; 57217319568; 57198108028; 22734781200","Self-Aware Networks That Optimize Security, QoS, and Energy","2020","10.1109/JPROC.2020.2992559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085976352&doi=10.1109%2fJPROC.2020.2992559&partnerID=40&md5=54e853dfa91623a00d70d9b6f6563bea","Institute of Theoretical and Applied Computer Science, Polish Academy of Sciences (IITiS-PAN), Gliwice, 44-100, Poland","Gelenbe E., Institute of Theoretical and Applied Computer Science, Polish Academy of Sciences (IITiS-PAN), Gliwice, 44-100, Poland; Domanska J., Institute of Theoretical and Applied Computer Science, Polish Academy of Sciences (IITiS-PAN), Gliwice, 44-100, Poland; Frohlich P., Institute of Theoretical and Applied Computer Science, Polish Academy of Sciences (IITiS-PAN), Gliwice, 44-100, Poland; Nowak M.P., Institute of Theoretical and Applied Computer Science, Polish Academy of Sciences (IITiS-PAN), Gliwice, 44-100, Poland; Nowak S., Institute of Theoretical and Applied Computer Science, Polish Academy of Sciences (IITiS-PAN), Gliwice, 44-100, Poland","The need to adaptively manage computer systems and networks so as to offer good Quality of Service (QoS) and Quality of Experience (QoE) with secure operation at relatively low levels of energy consumption is challenged by their sheer complexity and the wide variability of the workloads. A possible way forward is through self-awareness, whereby self-measurement and self-observation, together with on-line control mechanisms, operate adaptively to attain the required performance and QoE. We survey the premises for these ideas arising from cognitive science and active networks and review recent work on self-aware computer systems and networks, including those that propose the use of software-defined networks as a means to implement these concepts. Then we provide some examples from the literature on self-aware systems to illustrate the performance gains that they can provide. Finally, we detail an example system and its working algorithms to allow the reader to understand how such a system may be implemented. Measurements showing how it can react rapidly to changing network conditions regarding QoS and security are presented. Some conclusions and suggestions for further work are listed. © 1963-2012 IEEE.","English"
"Recse A.; Promwongsa N.; Ebrahimzadeh A.; Afrasiabi S.N.; Mouradian C.; Li W.; Szabó R.; Glitho R.H.","Recse, Ákos (57203149333); Promwongsa, Nattakorn (57191896946); Ebrahimzadeh, Amin (55772496000); Afrasiabi, Seyedeh Negar (57211255880); Mouradian, Carla (56157565300); Li, Wubin (57493017900); Szabó, Róbert (35590739700); Glitho, Roch H. (57222519874)","57203149333; 57191896946; 55772496000; 57211255880; 56157565300; 57493017900; 35590739700; 57222519874","Look-Ahead VNF-FG Embedding Framework for Latency-Sensitive Network Services","2023","10.1109/TNSM.2023.3243435","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148430165&doi=10.1109%2fTNSM.2023.3243435&partnerID=40&md5=005a4d364cf666b88efd79c877ddef2b","Eötvös Loránd University, Faculty of Informatics, Budapest, 1053, Hungary; Ericsson Research, Montreal, H4S 0B6, Canada; Ericsson Research, Budapest, 1117, Hungary; Concordia Institute for Information Systems Engineering, Concordia University, Montreal, H3G 1M8, Canada; University of Western Cape, Computer Science Department, Bellville, 7535, South Africa","Recse A., Eötvös Loránd University, Faculty of Informatics, Budapest, 1053, Hungary; Promwongsa N., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, H3G 1M8, Canada; Ebrahimzadeh A., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, H3G 1M8, Canada; Afrasiabi S.N., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, H3G 1M8, Canada; Mouradian C., Ericsson Research, Montreal, H4S 0B6, Canada; Li W., Ericsson Research, Montreal, H4S 0B6, Canada; Szabó R., Ericsson Research, Budapest, 1117, Hungary; Glitho R.H., Concordia Institute for Information Systems Engineering, Concordia University, Montreal, H3G 1M8, Canada, University of Western Cape, Computer Science Department, Bellville, 7535, South Africa","Dynamic and zero-touch management is expected to be the key feature of next-generation 6G networks. Network Function Virtualization (NFV) is one of the key technologies for realizing such management through software-based networks. Despite great benefits offered by NFV, deploying network services (NSs) in NFV ecosystems remains a challenge, especially for latency-sensitive NSs, as they demand stringent latency requirements and fast service provisioning. Specifically, service graphs should be embedded into an infrastructure such that these requirements are satisfied while optimizing network operator's objectives. To cope with the scalability of optimization-based approaches, heuristic methods are known as promising alternatives to find a satisfactory solution within an acceptable execution time. However, existing VNF embedding heuristics still suffer from the so-called causality issue, which may degrade the embedding solution quality. The causality issue means that embedding decisions cannot be optimally determined before all neighboring dependencies are known. To this end, we introduce our h -horizon sequential look-ahead greedy embedding framework, which provides efficient embedding and re-embedding strategies to alleviate the impact of the causality issue. The simulation results indicate that our proposed algorithm significantly improves embedding cost, compared to the existing heuristic algorithms while being much more scalable than an optimization-based approach.  © 2004-2012 IEEE.","English"
"Devi A.; Kait R.; Ranga V.","Devi, Anshu (57867229800); Kait, Ramesh (56521528800); Ranga, Virender (55599423900)","57867229800; 56521528800; 55599423900","Automated Cluster Head Selection in Fog-VANET Via Machine Learning","2022","10.1007/978-981-19-2130-8_89","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136942839&doi=10.1007%2f978-981-19-2130-8_89&partnerID=40&md5=c26940a1642802b07080914c8d7e071d","Kurukshetra University, Haryana, Kurukshetra, India; Delhi Technological University, Delhi, New Delhi, India","Devi A., Kurukshetra University, Haryana, Kurukshetra, India; Kait R., Kurukshetra University, Haryana, Kurukshetra, India; Ranga V., Delhi Technological University, Delhi, New Delhi, India","Vehicle autonomous networks (VANETs) are widely acknowledged as one of the most important technologies for upgrading today’s transportation networks. Because VANET is divided into two distinct groups, safey and non-safety applications, continuous data interchange is required. Data that is highly time sensitive should be exchanged as soon as possible. It necessitates the use of intelligent infrastructure capable of storing, computing, and communicating. FOG computing provides a storage, computation, and communication platform.This study investigates the integration of fog computing (FC) with Lagrange Polynomial Interpolation for the purpose of authentication of the node via machine learning. The Authentic Vehicle Node with FOG Computing (AVNFC) scheme, which is a fog-enabled VANET architecture, is described in this article. © 2022, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","English"
"Paranou D.; Pentelas A.; Katsiros D.; Maidatsis K.; Giannopoulos G.; Angelou E.; Anastopoulos N.; Papastefanatos G.","Paranou, Dimitra (58886424300); Pentelas, Angelos (57216805200); Katsiros, Dimitris (58886332400); Maidatsis, Konstantinos (58886375900); Giannopoulos, George (35069407500); Angelou, Evangelos (6507102541); Anastopoulos, Nikos (13408388400); Papastefanatos, George (23390448100)","58886424300; 57216805200; 58886332400; 58886375900; 35069407500; 6507102541; 13408388400; 23390448100","Forecasting Resource Demand for Dynamic Datacenter Sizing in Telco Infrastructures","2023","10.1109/BigData59044.2023.10386867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184988661&doi=10.1109%2fBigData59044.2023.10386867&partnerID=40&md5=fe39706bf8c3a479e95d3a97a3b44a91","Athena Research Center, Greece; Intracom Sa Telecom Solutions, Greece","Paranou D., Athena Research Center, Greece; Pentelas A., Intracom Sa Telecom Solutions, Greece; Katsiros D., Athena Research Center, Greece; Maidatsis K., Athena Research Center, Greece; Giannopoulos G., Athena Research Center, Greece; Angelou E., Intracom Sa Telecom Solutions, Greece; Anastopoulos N., Intracom Sa Telecom Solutions, Greece; Papastefanatos G., Athena Research Center, Greece","The deployment of emerging cloud computing technologies onto telecommunication (telco) infrastructures, coupled with highly stringent regulations relating to energy efficiency, power consumption, and CO2 emissions, put telco datacenters and their associated operations under a drastic transformation process. This paves the way for new optimization opportunities, such as dynamic datacenter sizing (DDS) with respect to power consumption constraints and volatile demands across multiple resource types. DDS boils down to determining the optimal subset of active servers in a datacenter, and it can be modeled as a planning problem where decisions regarding resource availability are based on projections of resource demands. This raises the need for accurate and efficient forecasting solutions, which shall be tailored to the problem at hand.To this end, our work focuses on the investigation, the development, and the evaluation of forecasting methods which predict the demand of 5G (and beyond) workloads across multiple resources. Concretely, using the daily pattern of load data pertaining to an operational data-plane function and the prevailing way of horizontal scaling in virtualized datacenters, we exemplify the evolution of resource demands of 5G applications residing at the network edge. This lets us simulate a dataset of demands across various resource types, upon which we study informative features, and then train and evaluate a wide suite of forecasting methods. Our experiments show that the intrinsic characteristics of the data render simple statistical algorithms capable of accurately capturing the underlying patterns, and even outperforming more complex algorithms. Last, we evaluate and discuss the trade-off between single- and multi-output forecasting models.  © 2023 IEEE.","English"
